epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.613,1.59228,2.05216,1.39122,0.54256,0.30993,0.32618,0.18806,1.59237,2.34492,1.46111,0.000659933,0.000659933,0.000659933
2,96.2748,1.56308,1.64438,1.37388,0.28496,0.25556,0.18157,0.08285,1.897,3.24153,1.72375,0.00130033,0.00130033,0.00130033
3,145.44,1.61015,1.59791,1.41094,0.43758,0.4379,0.38317,0.18276,1.79265,2.26923,1.64229,0.00191433,0.00191433,0.00191433
4,187.081,1.58673,1.52118,1.41056,0.5821,0.51184,0.50132,0.26974,1.60138,1.6652,1.47381,0.0018812,0.0018812,0.0018812
5,230.165,1.55556,1.45783,1.39773,0.66212,0.48744,0.54383,0.2934,1.60517,1.73095,1.46466,0.0018416,0.0018416,0.0018416
6,274.499,1.5139,1.39336,1.35463,0.67431,0.53697,0.60327,0.3197,1.5682,1.4769,1.44297,0.001802,0.001802,0.001802
7,316.972,1.52618,1.38603,1.35082,0.63683,0.57215,0.60009,0.32595,1.62166,1.51327,1.45217,0.0017624,0.0017624,0.0017624
8,359.431,1.48721,1.31973,1.32917,0.64203,0.53689,0.58657,0.34475,1.48284,1.50504,1.41506,0.0017228,0.0017228,0.0017228
9,400.99,1.46945,1.27574,1.31324,0.65403,0.55061,0.60684,0.34692,1.51043,1.48864,1.38591,0.0016832,0.0016832,0.0016832
10,444.306,1.45108,1.29005,1.32751,0.58738,0.54917,0.571,0.32344,1.58242,1.49518,1.44364,0.0016436,0.0016436,0.0016436
11,486.699,1.43238,1.26213,1.31163,0.70244,0.57071,0.64525,0.37868,1.48949,1.31916,1.34093,0.001604,0.001604,0.001604
12,535.654,1.4299,1.23156,1.29398,0.64239,0.56869,0.62256,0.37352,1.43039,1.2956,1.33352,0.0015644,0.0015644,0.0015644
13,578.294,1.39617,1.2179,1.27343,0.68519,0.58363,0.65845,0.38936,1.44634,1.53747,1.3482,0.0015248,0.0015248,0.0015248
14,620.035,1.37938,1.16832,1.27334,0.68487,0.61665,0.67887,0.40587,1.41081,1.24936,1.31181,0.0014852,0.0014852,0.0014852
15,662.941,1.38629,1.16118,1.26901,0.74491,0.59009,0.68555,0.41207,1.403,1.21054,1.32507,0.0014456,0.0014456,0.0014456
16,707.18,1.36014,1.13528,1.25172,0.72305,0.63101,0.71129,0.43232,1.34682,1.3129,1.2656,0.001406,0.001406,0.001406
17,749.073,1.34473,1.13629,1.25534,0.72884,0.64639,0.70626,0.43139,1.37666,1.15147,1.29312,0.0013664,0.0013664,0.0013664
18,791.744,1.36214,1.12528,1.24063,0.72356,0.61953,0.71148,0.42384,1.37344,1.15459,1.26769,0.0013268,0.0013268,0.0013268
19,833.497,1.34048,1.12809,1.24464,0.7327,0.61198,0.70874,0.43037,1.37223,1.12808,1.28595,0.0012872,0.0012872,0.0012872
20,877.343,1.31886,1.0887,1.24637,0.73996,0.64824,0.73046,0.45341,1.33969,1.11004,1.27291,0.0012476,0.0012476,0.0012476
21,919.885,1.29928,1.07875,1.22117,0.75448,0.6221,0.72037,0.44495,1.32957,1.11307,1.27423,0.001208,0.001208,0.001208
22,961.677,1.29228,1.02664,1.21728,0.7504,0.65829,0.73577,0.45419,1.33029,1.09097,1.25572,0.0011684,0.0011684,0.0011684
23,1004.55,1.29338,1.02505,1.21447,0.79769,0.64178,0.74051,0.45622,1.3428,1.08644,1.2624,0.0011288,0.0011288,0.0011288
24,1048.81,1.27861,1.0231,1.21975,0.75781,0.6425,0.73487,0.46481,1.31136,1.08427,1.25395,0.0010892,0.0010892,0.0010892
25,1095.42,1.28893,1.02699,1.20634,0.74329,0.64537,0.7214,0.45774,1.29594,1.08602,1.21993,0.0010496,0.0010496,0.0010496
26,1137.91,1.25938,0.9978,1.19822,0.72625,0.65686,0.73432,0.45898,1.32331,1.0884,1.24936,0.00101,0.00101,0.00101
27,1181.84,1.24941,1.00584,1.20387,0.78255,0.64178,0.75224,0.46806,1.30696,1.08726,1.24646,0.0009704,0.0009704,0.0009704
28,1223.62,1.25993,0.98267,1.18361,0.75227,0.67839,0.74674,0.47165,1.30018,1.03396,1.23693,0.0009308,0.0009308,0.0009308
29,1266.96,1.25745,0.98849,1.19963,0.73605,0.67063,0.74658,0.47346,1.29087,1.06402,1.22766,0.0008912,0.0008912,0.0008912
30,1310.39,1.23616,0.95884,1.19174,0.73448,0.68511,0.75174,0.48295,1.26396,1.01847,1.20347,0.0008516,0.0008516,0.0008516
31,1353.25,1.23079,0.95589,1.18097,0.74287,0.68629,0.7508,0.48625,1.25528,0.98994,1.20534,0.000812,0.000812,0.000812
32,1395.09,1.21956,0.9415,1.16846,0.75819,0.68653,0.76135,0.48559,1.26091,1.02674,1.21136,0.0007724,0.0007724,0.0007724
33,1437.1,1.21056,0.9263,1.16923,0.72126,0.68544,0.75301,0.4784,1.2601,0.9976,1.20088,0.0007328,0.0007328,0.0007328
34,1478.76,1.19154,0.90395,1.16325,0.73953,0.70208,0.77147,0.49752,1.25549,0.95021,1.19674,0.0006932,0.0006932,0.0006932
35,1522.25,1.18833,0.90184,1.1529,0.75105,0.68413,0.7609,0.48198,1.27848,0.99865,1.21203,0.0006536,0.0006536,0.0006536
36,1564.1,1.17647,0.88852,1.15035,0.79645,0.66188,0.76682,0.48572,1.28191,0.96243,1.20825,0.000614,0.000614,0.000614
37,1606.35,1.17093,0.8763,1.14616,0.77228,0.69275,0.7765,0.50081,1.2556,0.97196,1.20957,0.0005744,0.0005744,0.0005744
38,1647.9,1.18129,0.88424,1.15165,0.78078,0.69289,0.77293,0.49575,1.2669,1.00069,1.21923,0.0005348,0.0005348,0.0005348
39,1690.9,1.16298,0.85256,1.14092,0.77656,0.69131,0.7808,0.50772,1.23483,0.93283,1.18726,0.0004952,0.0004952,0.0004952
40,1734.18,1.16983,0.8588,1.13732,0.78623,0.68647,0.78436,0.50527,1.24338,0.92007,1.19213,0.0004556,0.0004556,0.0004556
41,1778.86,1.12349,0.82076,1.12072,0.75215,0.69277,0.7716,0.50098,1.241,0.93666,1.19795,0.000416,0.000416,0.000416
42,1819.61,1.08935,0.78382,1.10768,0.82801,0.66906,0.78343,0.51057,1.22068,0.92157,1.18841,0.0003764,0.0003764,0.0003764
43,1862.03,1.08768,0.76573,1.09909,0.79421,0.6827,0.77845,0.50879,1.22684,0.93465,1.18585,0.0003368,0.0003368,0.0003368
44,1903.3,1.06543,0.7292,1.09492,0.79849,0.68485,0.78237,0.51345,1.21945,0.91121,1.18273,0.0002972,0.0002972,0.0002972
45,1944.44,1.07318,0.7305,1.08582,0.77369,0.70438,0.78558,0.51463,1.21513,0.90115,1.18034,0.0002576,0.0002576,0.0002576
46,1985.75,1.05655,0.7168,1.08575,0.78677,0.68342,0.77876,0.51139,1.22315,0.9075,1.19137,0.000218,0.000218,0.000218
47,2026.55,1.06055,0.71273,1.0807,0.81401,0.67337,0.78546,0.51528,1.22417,0.88886,1.2003,0.0001784,0.0001784,0.0001784
48,2067.55,1.04792,0.70511,1.07602,0.79821,0.69706,0.78954,0.51925,1.21292,0.88792,1.18739,0.0001388,0.0001388,0.0001388
49,2108.72,1.03375,0.69113,1.07189,0.82167,0.6847,0.79296,0.52154,1.21514,0.88082,1.18548,9.92e-05,9.92e-05,9.92e-05
50,2151.05,1.02588,0.68986,1.07105,0.79934,0.69203,0.78654,0.51669,1.21574,0.88468,1.19039,5.96e-05,5.96e-05,5.96e-05
